series,x,mean,ci_low,ci_high,seed_20260901,seed_20260902,seed_20260903,seed_20260904,seed_20260905,seed_20260906,seed_20260907,seed_20260908
absolute_delta_tap,6,0.120354012,0.117703449,0.123004575,0.126431406,0.122374766,0.121543027,0.117581978,0.120279454,0.116236225,0.118650958,0.119734257
absolute_delta_tap,7,0.114272192,0.112220811,0.116323573,0.11778453,0.11663837,0.112771109,0.11486496,0.115200162,0.110724494,0.114739612,0.111454338
absolute_delta_tap,8,0.0970541984,0.0938880195,0.100220377,0.103685156,0.0950777754,0.0979972407,0.0981742293,0.0954362005,0.0908268318,0.0955752283,0.0996609628
absolute_delta_tap,9,0.099086158,0.0954222695,0.102750046,0.100818962,0.097405605,0.103814088,0.103520066,0.100527816,0.0902014375,0.0967826471,0.0996186808
absolute_delta_tap,10,0.0826407671,0.0792085622,0.086072972,0.0862286314,0.0824821517,0.0852957517,0.0786900148,0.0895852223,0.0781780779,0.0789852142,0.0816810653
absolute_delta_tap,11,0.0796803907,0.0766504524,0.0827103289,0.0802175701,0.0762019455,0.0846238509,0.0822343007,0.0811779052,0.0809188932,0.0790536776,0.0730149522
absolute_delta_tap,12,0.073921293,0.0699080148,0.0779345713,0.0781748891,0.0701409131,0.0733917281,0.0779292807,0.0763472766,0.0649842918,0.0717694461,0.0786325336
absolute_delta_tap,13,0.0772092119,0.0744009647,0.080017459,0.079370372,0.0795556605,0.0772129074,0.0774569958,0.0828104019,0.0736244842,0.0729361698,0.0747066513
absolute_delta_tap,14,0.073047772,0.0705403526,0.0755551915,0.0685357898,0.0708042458,0.0715140477,0.0780615285,0.0756800994,0.0718436167,0.0739512891,0.0739915669
absolute_delta_tap,15,0.0707514659,0.0660872845,0.0754156472,0.0754323453,0.0757826343,0.064398244,0.0772285461,0.0748556629,0.0646859109,0.065454118,0.0681742504
effective_response_magnitude,0,2.89349209,2.87046639,2.91651778,2.94449821,2.90262427,2.88309515,2.91829087,2.89055999,2.85868864,2.87661817,2.87356141
effective_response_magnitude,0.0078125,2.87835133,2.85557583,2.90112683,2.9291722,2.88682039,2.86867042,2.9023026,2.87613992,2.84398387,2.86117879,2.85854247
effective_response_magnitude,0.015625,2.83328275,2.81119953,2.85536597,2.88361825,2.8398968,2.82567821,2.85479751,2.83275974,2.80032161,2.81524525,2.81394464
effective_response_magnitude,0.0234375,2.75949226,2.7384083,2.78057621,2.80912617,2.76332149,2.75508334,2.77717404,2.76095178,2.72906047,2.74007024,2.74115053
effective_response_magnitude,0.03125,2.6591715,2.6392169,2.6791261,2.70789158,2.65955124,2.65873593,2.67181132,2.66250913,2.63247014,2.63792426,2.64247842
effective_response_magnitude,0.0390625,2.53551327,2.51660544,2.55442109,2.58305437,2.53203956,2.53947679,2.54210765,2.54035968,2.51373296,2.51214446,2.52119066
effective_response_magnitude,0.046875,2.39269982,2.37452938,2.41087025,2.43872007,2.38523973,2.40114606,2.39250554,2.39844409,2.37694035,2.36710968,2.38149301
effective_response_magnitude,0.0546875,2.2358875,2.21796715,2.25380785,2.2799614,2.2246013,2.24855102,2.22851043,2.24166577,2.22708637,2.20820105,2.22852269
effective_response_magnitude,0.0625,2.07119018,2.05299489,2.08938548,2.11280153,2.05655687,2.08742726,2.05671116,2.07587794,2.07005664,2.04177408,2.06831599
effective_response_magnitude,0.0703125,1.90565186,1.88681455,1.92448917,1.94417207,1.88848496,1.92440711,1.88479045,1.90789734,1.91259186,1.87514155,1.90772952
effective_response_magnitude,0.078125,1.74717079,1.72765006,1.76669151,1.7818225,1.72860423,1.76698756,1.72146001,1.74553149,1.76216313,1.71652296,1.75427441
effective_response_magnitude,0.0859375,1.60427285,1.5844318,1.6241139,1.63412629,1.58568431,1.62342113,1.57614873,1.59754988,1.62665242,1.57479099,1.61580906
effective_response_magnitude,0.09375,1.4855003,1.46606536,1.50493524,1.50962843,1.46832899,1.50226083,1.45811208,1.47335345,1.51370435,1.458629,1.49998528
effective_response_magnitude,0.1015625,1.39802277,1.37993111,1.41611442,1.41589575,1.38348732,1.41102395,1.37456515,1.38171374,1.4295327,1.37479124,1.41317228
effective_response_magnitude,0.109375,1.34524768,1.329447,1.36104835,1.35711063,1.33410546,1.35369761,1.32798606,1.32775117,1.37703384,1.32586199,1.35843465
effective_response_magnitude,0.1171875,1.32448475,1.31155611,1.33741339,1.3313962,1.31687416,1.32830779,1.31420816,1.3090276,1.3540185,1.30851271,1.33353287
effective_response_magnitude,0.125,1.32732096,1.31707096,1.33757097,1.33079515,1.32280211,1.32714089,1.32364407,1.31553125,1.35330149,1.31404328,1.33130947
effective_response_magnitude,0.1328125,1.34311122,1.33475625,1.3514662,1.34457453,1.34098,1.33999271,1.34507117,1.33508912,1.36514836,1.33179183,1.34224208
effective_response_magnitude,0.140625,1.36223501,1.35487776,1.36959225,1.36270129,1.36172557,1.35741258,1.36866957,1.35755395,1.38037861,1.35217897,1.35725953
effective_response_magnitude,0.1484375,1.37740247,1.37037383,1.38443111,1.37743479,1.37772656,1.37213626,1.38709916,1.37567359,1.39200212,1.36791313,1.36923414
